listings;url;guests; bedrooms; beds; bathrooms;room_type;price;host_name;reviews;stars;location;latitude;longitude
REPUBLICII RESIDENCE BLUE ROOM;https://www.airbnb.com.ro/rooms/34728428?location=Brasov%2C%20Bra%C8%99ov%2C%20Ruman%C3%ADa&check_in=2020-07-04&check_out=2020-07-05&source_impression_id=p3_1588158845_D0GAFiMeAO5KIjRD&guests=1&adults=1;2;1;1;1;Entire home;180;Cristina&Cristian;15;4.93;Brasov, Romania;45644;25593
REPUBLICII RESIDENCE DELUXE;https://www.airbnb.com.ro/rooms/34666288?location=Brasov%2C%20Bra%C8%99ov%2C%20Ruman%C3%ADa&check_in=2020-07-04&check_out=2020-07-05&source_impression_id=p3_1588081913_WDFp74DJdfmIKQet&guests=1&adults=1;4;2;2;1;Entire home;220;Cristina&Cristian;10;4.80;Brasov, Romania;45644;25593
REPUBLICII RESIDENCE PURPLE ROOM;https://www.airbnb.com.ro/rooms/34729022?location=Brasov%2C%20Bra%C8%99ov%2C%20Ruman%C3%ADa&check_in=2020-07-04&check_out=2020-07-05&source_impression_id=p3_1588162584_7iJQ7mLfBYKNCTPK&guests=1&adults=1;2;1;1;1;Entire home;175;Cristina&Cristian;15;4.93;Brasov, Romania;45644;25593
Republicii Rustic Apartament -in heart of old town;https://www.airbnb.com.ro/rooms/30458316?location=Brasov%2C%20Bra%C8%99ov%2C%20Ruman%C3%ADa&check_in=2020-07-04&check_out=2020-07-05&source_impression_id=p3_1588230454_05LNbR6tlChNxt6K&guests=1&adults=1;3;1;2;1;Entire home;240;Bogdan;14;5.0;Brasov, Romania;4564281;2559182
Residence Cina;https://www.airbnb.com.ro/rooms/36798969?location=Brasov%2C%20Bra%C8%99ov%2C%20Ruman%C3%ADa&check_in=2020-07-04&check_out=2020-07-05&source_impression_id=p3_1588244573_uw8AJYTrStKg2sxv&guests=1&adults=1;4;2;2;2;Private room in apartament;400;Florin Nicolae;1;0;Brasov, Romania;4564579;2559699
RIMI's flat;https://www.airbnb.com.ro/rooms/41906045?location=Brasov%2C%20Bra%C8%99ov%2C%20Ruman%C3%ADa&check_in=2020-07-04&check_out=2020-07-05&source_impression_id=p3_1588237194_WJL6GOLmUbKWq%2Bk0&guests=1&adults=1;6;1;3;1;Entire home;230;Anastasia;0;0;Brasov, Romania;45644;25592
Roma Resident;https://www.airbnb.com.ro/rooms/42552749?location=Brasov%2C%20Bra%C8%99ov%2C%20Ruman%C3%ADa&check_in=2020-07-04&check_out=2020-07-05&source_impression_id=p3_1588065407_ospP%2BPxStaQJi%2FVx&guests=1&adults=1;3;1;4;1;Entire home;150;Ovidiu;1;0;Brasov, Romania;4565123;2559771
Romantic Apartament near City Central;https://www.airbnb.com.ro/rooms/20230674?location=Brasov%2C%20Bra%C8%99ov%2C%20Ruman%C3%ADa&check_in=2020-07-04&check_out=2020-07-05&source_impression_id=p3_1588232524_T8%2BdB0SXDp2%2FpIOy;6;2;3;1;Entire home;159;Dana;48;4.88;Brasov, Romania;456524;2560895
Romantic Fireplace 1;https://www.airbnb.com.ro/rooms/32867905?location=Brasov%2C%20Bra%C8%99ov%2C%20Ruman%C3%ADa&check_in=2020-07-04&check_out=2020-07-05&source_impression_id=p3_1588234049_PoqBGJsBUD8MNNXp&guests=1&adults=1;4;1;2;1;Entire home;230;Iulia;17;4.88;Brasov, Romania;4564388;2560167
"""ROOM 21"" Rare Chromatherapy Relaxation Gem!";https://www.airbnb.com/rooms/39402434?location=Brasov&check_in=2020-07-10&check_out=2020-07-11&previous_page_section_name=1000&federated_search_id=3ea7763b-0b08-4fe4-8f0e-0bb1e99b2661;2;1;1;1;Entire home;195;Tudor;40;;Brasov, Romania;4564108;2559251
